name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;212254;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;212235;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211028;Л.18000.4.100.387.8100.V.16.3.УХЛ1;КГС 203;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211560;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 203;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;212239;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;212241;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211037;Л.18000.4.100.387.8100.V.16.3.УХЛ1;КГС 203;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211558;М.300.30.10.8100.S.15.3.УХЛ1;КГС 203;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;212251;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;212242;П.250.4.60.8100.V.15.3.УХЛ1;КГС 203;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211036;Л.18000.4.100.387.8100.V.16.3.УХЛ1;КГС 203;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;0000017;М.300.60.10.8100.S.15.3.УХЛ1;КГС 203;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;212323;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 203;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;212243;П.250.4.60.8100/И.V.15.3.УХЛ1;КГС 203/76;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;212238;П.250.4.60.8100/И.V.15.3.УХЛ1;КГС 203/76;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211035;Л.18000.4.100.387.8100.V.16.3.УХЛ1;КГС 203/76;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211552;М.300.60.10.8100.S.15.3.УХЛ1;КГС 203/76;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211315;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211320;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211187;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211002;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 204;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211094;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211096;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 204;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211269;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 204;скв-2;Кр 3\2
