position;location;teg;model;type;name;reg_number;serial_number;year;min_scale;max_scale;unit;mpi;previous_verification;result;certificate
ГП25;Блок насосов кубовой жидкости 40Н-2/1;PDT 36.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800125;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853802
ГП25;Блок насосов кубовой жидкости 40Н-2/2;PDT 36.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800124;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853803
ГП25;Блок насосов кубовой жидкости 40Н-2/3;PDT 36.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800123;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853804
ГП25;Блок насосов кубовой жидкости 40Н-2/2;PDT 36.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800122;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853805
ГП25;Блок насосов кубовой жидкости 40Н-2/3;PDT 36.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800121;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853806
ГП25;Блок насосов кубовой жидкости 40Н-2/1;PDT 36.1;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800120;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853807
ГП28;Блок разделителя насыщенного метанола 40Р-1/2;PDТ 31.1;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800119;2021;0;0,025;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853808
ГП28;Блок разделителя насыщенного метанола 40Р-1/1;PDТ 31.1;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800118;2021;0;0,025;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853809
ГП25;Блок насосов кубовой жидкости 40Н-3;PDT 37.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800116;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853812
ГП5;Блок выветривателя 20В-1/3;PDT 06.1;EJA530E;YOKOGAWA;Преобразователь давления измерительный;66959-17;Y2X800113;2021;0;1,6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853815
ГП32;Блок насосов ШФЛУ 30Н-3/1;PG 23.5;4МПа-1-П.П.Пас;М-4ВУКсУХЛ1;Манометр показывающий ;58474-19;Y2X800109;2021;0;4;Па;24;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853816 
ГП32;Блок насосов ШФЛУ 30Н-3/1;PDT 23.2;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв30/EP РФ,;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800108;2021;0;16;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853817
ГП32;Блок насосов ШФЛУ 30Н-3/1;PDT 23.2;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв30/EP РФ,;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800107;2021;0;16;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853818 
ГП32;Блок насосов ШФЛУ 30Н-3/1;PDT 23.1;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв30/EP РФ,;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800106;2021;0;16;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853819 
ГП32;Блок насосов ШФЛУ 30Н-3/1;PDT 23.1;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв30/EP РФ,;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800105;2021;0;16;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853820
ГП32;Блок насосов ШФЛУ 30Н-3/1;PDT 23.1;JHS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв30/EP РФ,;EJA110E;Преобразователь давления измерительный;66959-17;Y2X800104;2021;0;16;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853821
ГП33;Блок емкости аварийной 30Е-3/2;PT 24.1;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0...6 МПа,;EJA530E;Датчик давления;66959-17;Y2X800103;2021;0;6;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853822
ГП33;Блок емкости аварийной 30Е-3/1;PТ 24.2;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0,5...10 МПа,;EJA530E;Датчик давления;66959-17;Y2X800102;2021;0,5;10;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853823
ГП33;Блок емкости аварийной 30Е-3/3;PT 24.1;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0...6 МПа,;EJA530E;Датчик давления;66959-17;Y2X800101;2021;0;6;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853824
ГП26;Емкости аварийная и дренажные;;EGA530E;Yokogawa;Преобразователи давления измерительные;66959-17;Y2X800100;2021;0;16;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853825 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PDT 21.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800099;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853826
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PT 21.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800098;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853827 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PT 21.3;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800097;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853828 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PT 21.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800096;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853829 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PDT 21.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800095;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853830
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PT 21.3;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800094;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853831 
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/2;PT 21.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800093;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853832
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/3;PT 21.3;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800092;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853833
ГП32;Блок насосов циркулирующей жидкости УСК 30Н-1/1;PT 21.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800091;2021;0;6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853834 
ГП32;Блок насосов орошения 30Н-2/3;PT 22.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800090;2021;0;4;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853835
ГП32;Блок насосов орошения 30Н-2/1;PT 22.2;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800089;2021;0;4;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853836 
ГП32;Блок насосов орошения 30Н-2/2;PDT 22.2;JMS5J-714ED/GS21/HG/VR/БКН5-115-06/Кв28/EP РФ;EJA110E;Преобразователь давления;66959-17;Y2X800088;2021;0;25;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853837 
ГП32;Блок насосов орошения 30Н-2/1;PT 22.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800087;2021;0;1,6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853838
ГП32;Блок насосов орошения 30Н-2/2;PT 22.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800086;2021;0;4;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853839
ГП32;Блок насосов орошения 30Н-2/3;PT 22.1;JCS9N-014EL/GS21/VR/БКН2-19/Кв28/EP РФ;EJA530E;Преобразователь давления измерительный;66959-17;Y2X800085;2021;0;4;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853840 
ГП33;Блок емкости аварийной 30Е-3/3;PТ 24.2;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0,5...10 МПа,;EJA530E;Датчик давления;66959-17;Y2X800084;2021;0,5;10;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853841 
ГП33;Блок емкости аварийной 30Е-3/1;PТ 24.2;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0,5...10 МПа,;EJA530E;Датчик давления;66959-17;Y2X800083;2021;0,5;10;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853387
ГП33;Блок емкости аварийной 30Е-3/1;PT 24.1;JCS9N-014EL/GS21/VR/БКН2-19/КВ30/EP РФ (настройка шкалы 0...6 МПа,;EJA530E;Датчик давления;66959-17;Y2X800082;2021;0;6;Па;60;23.06..2021;Годен;С-ВЯЫ/23-06-2021/72853388 
ГП4;Емкости аварийная и дренажная ВМР и конденсата;PT08.2;EJA530E-JCS9N-014EL/GS21/VR;YOKOGAWA;Преобразователь давления измерительный;66959-17;Y2X800081 ;2021;0;1,6;Па;60;23.06.2021;Годен;С-ВЯЫ/23-06-2021/72853389
